Sample,Folder Name,Wasabi,Batch,Organ,State,Tissue type,Slide ID,Run location,Assay,Panel,#,Slide prepared,Run start date,H&E image (.svs),H&E same-slide (.svs),#HE,Fiducial Concentration (%),Pre-hybridization storage time,Hybridization Duration (h.min),Optional pre-run ON at 4°C,Pre-bleaching profile,Cell segmentation profile,Slide preparation manual,Instrument user manual,Instrument software
1,SAHA_CR_CRC_A1_TAP00,,TAP00,Colon,Cancer,CRC,CRC,TAP,CosMx RNA,UCC 1K,2,N/A,N/A,N/A,N/A,1,,,,,,,,,
2,SAHA_CR_COL_A1_TAP01,,TAP01,Colon,Normal,COL,COL_A1,TAP,CosMx RNA,UCC 1K,5,12/06/2022,12/13/2022,SAHA_HE_COL_A1_TAP01,N/A,7,,,,,,,,,
3,SAHA_CR_LIV_A1_TAP01,,TAP01,Liver,Normal,LIV,LIV_A1,TAP,CosMx RNA,UCC 1K,5,12/06/2022,12/13/2022,SAHA_HE_LIV_A1_TAP01,N/A,7,,,,,,,,,
4,SAHA_CR_LIV_A2_TAP01,,TAP01,Liver,Normal,LIV,LIV_A2,TAP,CosMx RNA,UCC 1K,5,12/06/2022,12/13/2022,SAHA_HE_LIV_A2_TAP01,N/A,7,,,,,,,,,
5,SAHA_CR_PROS_A1_TAP01,,TAP01,Prostate,Normal,PROS,PROS_A1,TAP,CosMx RNA,UCC 1K,5,12/06/2022,12/13/2022,SAHA_HE_PROS_A1_TAP01,N/A,7,,,,,,,,,
6,SAHA_CR_LIV_A1_TAP02,,TAP02,Liver,Normal,LIV,LIV_A1,TAP,CosMx RNA,UCC 1K,14,06/07/2023,06/15/2023,SAHA_HE_LIV_A1_TAP02,N/A,13,,,,,,,,,
7,SAHA_CR_LIV_A2_TAP02,,TAP02,Liver,Normal,LIV,LIV_A2,TAP,CosMx RNA,UCC 1K,14,06/07/2023,06/15/2023,SAHA_HE_LIV_A2_TAP02,N/A,13,,,,,,,,,
8,SAHA_CR_BM_I19_TAP02,,TAP02,Bone Marrow,Normal,BM,BM_I19-4082,TAP,CosMx RNA,UCC 1K,5,06/07/2023,06/15/2023,SAHA_HE_BM_I19_TAP02,N/A,4,,,,,,,,,
9,SAHA_CR_BM_I29_TAP02,,TAP02,Bone Marrow,Normal,BM,BM_I29-5889,TAP,CosMx RNA,UCC 1K,5,06/07/2023,06/15/2023,SAHA_HE_BM_I29_TAP02,N/A,4,,,,,,,,,
10,SAHA_CR_BM_I18_TAP03,,TAP03,Bone Marrow,Normal,BM,I18-4753_B1,TAP,CosMx RNA,UCC 1K,5,06/23/2023,09/10/2023,N/A,N/A,4,,,,,,,,,
11,SAHA_CR_BM_I17_TAP03,,TAP03,Bone Marrow,Normal,BM,I17-1673_B1,TAP,CosMx RNA,UCC 1K,5,06/23/2023,09/10/2023,N/A,N/A,4,,,,,,,,,
12,SAHA_CR_APE_A9_TAP03,,TAP03,Appendix,Normal,APE,APE_A9,TAP,CosMx RNA,UCC 1K,5,06/23/2023,09/10/2023,SAHA_HE_APE_A9_TAP03,N/A,4,,,,,,,,,
13,SAHA_CR_ILE_A1_TAP03,,TAP03,Ileum,Normal,ILE,ILE_A1,TAP,CosMx RNA,UCC 1K,5,06/23/2023,09/10/2023,SAHA_HE_ILE_A1_TAP03,N/A,4,,,,,,,,,
14,SAHA_CR_APE_A9_EC01,Y,EC01,Appendix,Normal,APE,APE_A9,WCM,CosMx RNA,UCC 1K,10,08/28/2023,09/29/2023,SAHA_HE_APE_A9_TAP03,N/A,N/A,0.001,130 min at 4°C,17,YES,C,A,MAN-10159-03,MAN-10161-02-1,Sofware version 1.1
15,SAHA_CR_ILE_A1_EC01,Y,EC01,Ileum,Normal,ILE,ILE_A1,WCM,CosMx RNA,UCC 1K,10,08/28/2023,09/29/2023,SAHA_HE_ILE_A1_TAP03,N/A,N/A,0.001,130 min at 4°C,17,YES,C,A,MAN-10159-03,MAN-10161-02-1,Sofware version 1.1
16,SAHA_CR_COL_A1_SJ01,Y,SJJP01,Colon,Normal,COL,COL_A1,St.Jude,CosMx RNA,UCC 1K,11,12/19/2023,01/27/2024,SAHA_HE_COL_A1_SJ01,SAHA_HECR_COL_A1_SJ01,12,0.001,N/A,17,NO,C,A,MAN-10184-01,MAN-10161-02-1,Sofware version 1.2
17,SAHA_CR_APE_A9_SJ01,Y,SJJP01,Appendix,Normal,APE,APE_A9,St.Jude,CosMx RNA,UCC 1K,12,12/19/2023,01/27/2024,SAHA_HE_APE_A9_SJ01,SAHA_HECR_APE_A9_SJ01,13,0.001,N/A,17,NO,C,A,MAN-10159-01,MAN-10161-02-1,Sofware version 1.2
18,SAHA_CR_ILE_A1_SJ01,Y,SJJP01,Ileum,Normal,ILE,ILE_A1,St.Jude,CosMx RNA,UCC 1K,12,12/19/2023,01/27/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HECR_ILE_A1_SJ01,13,0.001,N/A,17,NO,C,A,MAN-10159-01,MAN-10161-02-1,Sofware version 1.2
19,SAHA_CR_HB_RS_SJ01,,SJJP01,Liver,Cancer,HB,HB_RS,St.Jude,CosMx RNA,UCC 1K,1,N/A,01/27/2024,N/A,SAHA_HECR_HB_RS_SJ01,N/A,0.001,N/A,17,NO,C,A,MAN-10184-01,MAN-10161-02-1,Sofware version 1.2
20,SAHA_CR_PANC_A1_SJ01,Y,SJJP01,Pancreas,Normal,PANC,PANC_A1,St.Jude,CosMx RNA,UCC 1K,10,01/31/2024,02/15/2024,SAHA_HE_PANC_A1_EC02,SAHA_HECR_PANC_A1_SJ01,3,0.001,N/A,17,NO,C,A,MAN-10184-01,MAN-10161-02-1,Sofware version 1.2
22,SAHA_CR_COL_A1_EC02,Y,EC02,Colon,Normal,COL,COL_A1,WCM,CosMx RNA,UCC 1K,20,02/22/2024,03/01/2024,SAHA_HE_COL_A1_EC02,SAHA_HECR_COL_A1_EC02,17,0.001,75 min at 4°C,17,YES,C,A,MAN-10184-02,MAN-10161-03-2,Sofware version 1.2
23,SAHA_CR_PANC_A1_EC02,Y,EC02,Pancreas,Normal,PANC,PANC_A1,WCM,CosMx RNA,UCC 1K,16,02/22/2024,03/01/2024,SAHA_HE_PANC_A1_EC02,SAHA_HECR_PANC_A1_EC02,N/A,0.001,75 min at 4°C,17,YES,C,A,MAN-10184-02,MAN-10161-03-2,Sofware version 1.2
24,SAHA_CR_PDAC_RC_EC02,Y,EC02,Pancreas,Cancer,PDAC,PANC_CA,WCM,CosMx RNA,UCC 1K,9,02/22/2024,03/01/2024,SAHA_HE_PDAC_RC_EC02,SAHA_HECR_PDAC_RC_EC02,3,0.001,75 min at 4°C,17,YES,C,A,MAN-10184-02,MAN-10161-03-2,Sofware version 1.2
25,SAHA_XR_APE_A9_SJJP02_01,,SJJP02,Appendix,Normal,APE,APE_A9,St.Jude,Xenium,Multi-tissue (377-plex),16,02/22/2024,02/28/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_SJ02,N/A,,,,,,,,,
26,SAHA_XR_APE_A9_SJJP02_02,,SJJP02,Appendix,Normal,APE,APE_A9,St.Jude,Xenium,Multi-tissue (377-plex),16,02/22/2024,02/28/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_SJ02,N/A,,,,,,,,,
